areacolor,area,income,pop,price
Docklands,Docklands,978.65,10957,577078.75
East Melbourne,East Melbourne,1322.07,4739,648541.667
Kensington,Kensington,999.91,10890,435208.333
Melbourne (CBD),Melbourne (CBD),459.88,37341,462940
North Melbourne,North Melbourne,625.42,15104,470783.333
Parkville,Parkville,566.61,7397,479725
South Yarra,South Yarra,1226.52,6295,620358.333
Southbank,Southbank,1005.42,18670,668125
West Melbourne,West Melbourne,799.15,5510,475708.333
Carlton,Carlton,355.19,19026,524750