name,value
Mandarin,235820
Greek,108655
Vietnamese,105371
Italian,105235
Cantonese,86855
Arabic,79761
 Hindi,53987
Punjabi,53098
Spanish,38232
Sinhalese,36999
Indo Aryan Languages - Other,32541
Turkish,30869
Macedonian,28313
Tamil,26561
Urdu,22925
Chinese languages - Other,22452
Indonesian,21810
Tagalog,21548
Korean,20522
French,19431
Croatian,17789
Russian,17733
German,17233
Persian,16652
Filipino,16462
Serbian,16150
Maltese,16107
Polish,14306
Thai,13500
Japanese,12537
Samoan,11218
Bengali,11101
Southeast Asian Austronesian Languages - Other,8142
Dutch,6623
Afrikaans,4832
Australian Indigenous Languages,303